magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
BSN,5805-14-5427833,95.0,0.0,-95.0
TLE,7025-15-0162514,95.0,0.0,-95.0
MSE,7035-01-6773245,95.0,0.0,-95.0
VCS,5805-14-5883097,95.0,0.0,-95.0
CHN,5998-14-5709364,95.0,0.0,-95.0
SRS,7025-14-5953887,95.0,0.0,-95.0
MSE,5805-14-5899554,94.0,0.0,-94.0
TLE,5805-14-5407612,94.0,0.0,-94.0
LLG,5895-58-0014097,94.0,0.0,-94.0
TLN,6130-14-56789052,93.0,0.0,-93.0
ANTACL,5805-14-5395175,93.0,0.0,-93.0
RNS,7025-01-6471719,93.0,0.0,-93.0
TLN,DIRI-14-0000147,93.0,0.0,-93.0
LYO,7050-01-6861556,93.0,0.0,-93.0
LYO,5820-14-5875891,93.0,0.0,-93.0
STY,5805-14-5649505,92.0,0.0,-92.0
TLE,7025-15-0137638,92.0,0.0,-92.0
LLE,7025-01-4937528,92.0,0.0,-92.0
SRS,7025-01-5898541,92.0,0.0,-92.0
MRC,7025-15-0162514,102.0,10.0,-92.0
CHN,5895-01-5555276,92.0,0.0,-92.0
NCY,5820-14-5699765,92.0,0.0,-92.0
TLN,7025-14-5849743,92.0,0.0,-92.0
MRC,5805-14-5395175,92.0,0.0,-92.0
BCE,5805-14-5395175,94.0,2.0,-92.0
TLN,7025-14-5947628,91.0,0.0,-91.0
MSE,6030-01-5849988,91.0,0.0,-91.0
AVD,5998-14-5709364,91.0,0.0,-91.0
TRS,7025-01-6145572,91.0,0.0,-91.0
AVD,7025-17-1260324,91.0,0.0,-91.0
TLN,9070-DI-0022023,91.0,0.0,-91.0
LMV,5820-14-5699765,91.0,0.0,-91.0
SRS,5805-14-5694774,90.0,0.0,-90.0
RNS,7025-14-5947579,90.0,0.0,-90.0
VCS,6030-01-5849988,90.0,0.0,-90.0
MDM,5965-14-5596464,90.0,0.0,-90.0
LMV,5998-14-5890370,90.0,0.0,-90.0
RNS,5895-01-6548907,89.0,0.0,-89.0
LMV,5965-14-5596464,89.0,0.0,-89.0
TLE,5805-14-5649505,88.0,0.0,-88.0
MDM,5895-14-5781725,96.0,8.0,-88.0
AVD,5965-14-5596464,88.0,0.0,-88.0
CHG,5805-14-5795343,88.0,0.0,-88.0
RNS,7025-01-6305849,87.0,0.0,-87.0
MTY,5895-01-5555276,87.0,0.0,-87.0
STG,7025-01-6295560,87.0,0.0,-87.0
MLY,5998-14-5709364,86.0,0.0,-86.0
TLN,6130-14-5875950,86.0,0.0,-86.0
STG,6130-14-5648974,86.0,0.0,-86.0
DOU,5998-14-4636517,86.0,0.0,-86.0
LLG,5998-01-5108959,86.0,0.0,-86.0
TLN,9020-DI-1012016,86.0,0.0,-86.0
BST,5805-14-5649505,87.0,1.0,-86.0
CHN,5805-14-5407612,86.0,0.0,-86.0
MTY,5998-14-5709364,86.0,0.0,-86.0
RNS,7010-26-3013874,85.0,0.0,-85.0
TLE,7050-20-0042340,85.0,0.0,-85.0
CHN,6130-14-5648974,85.0,0.0,-85.0
MRC,7025-01-6295560,87.0,2.0,-85.0
AVD,5820-14-5720073,85.0,0.0,-85.0
RNS,5998-14-5709364,85.0,0.0,-85.0
CGC,5895-01-6590453,87.0,3.0,-84.0
LLG,5999-14-5416056,84.0,0.0,-84.0
AVD,7025-01-6471720,84.0,0.0,-84.0
TLN,5820-01-6525394,84.0,0.0,-84.0
MLF,DIRI-14-0002384,84.0,0.0,-84.0
NCY,5998-14-5709364,83.0,0.0,-83.0
ITS,5998-14-4636517,83.0,0.0,-83.0
ITS,5895-20-0078044,83.0,0.0,-83.0
ITS,5998-20-0085537,82.0,0.0,-82.0
MRC,5805-14-5407612,82.0,0.0,-82.0
STG,5895-01-6312265,82.0,0.0,-82.0
BST,7010-14-5971471,82.0,0.0,-82.0
MTY,7025-01-6305849,82.0,0.0,-82.0
ITS,7025-01-6471720,82.0,0.0,-82.0
LMV,5998-14-5115509,81.0,0.0,-81.0
RNS,5810-14-5949212,81.0,0.0,-81.0
TRS,7050-20-0042340,81.0,0.0,-81.0
TLN,5805-01-6442680,81.0,0.0,-81.0
CRL,5895-01-4758630,81.0,0.0,-81.0
BST,5895-14-5713842,90.0,10.0,-80.0
ITS,6030-01-5849988,80.0,0.0,-80.0
LLE,5998-14-5709364,80.0,0.0,-80.0
LLE,5998-14-5451643,80.0,0.0,-80.0
VLY,6130-15-1804826,80.0,0.0,-80.0
VLY,5805-01-6442680,80.0,0.0,-80.0
MLF,5820-14-5875877,80.0,0.0,-80.0
TRS,5805-14-5395175,80.0,0.0,-80.0
VLY,5815-14-4795798,80.0,0.0,-80.0
BST,7035-14-5885006,93.0,13.0,-80.0
TLN,6685-14-5930061,80.0,0.0,-80.0
RNS,7025-01-5898446,80.0,0.0,-80.0
MRC,6130-01-6590426,80.0,0.0,-80.0
CRL,5975-14-5882845,80.0,0.0,-80.0
RNS,6685-14-5930061,80.0,0.0,-80.0
NMS,5805-14-5407613,79.0,0.0,-79.0
LLG,7025-01-6471720,79.0,0.0,-79.0
BST,7010-14-5982738,79.0,0.0,-79.0
LLG,5805-14-5395176,79.0,0.0,-79.0
TLN,5895-14-5713842,79.0,0.0,-79.0
BST,6130-14-5875950,90.0,12.0,-78.0
ITS,6130-25-1625841,78.0,0.0,-78.0
BST,DIRI-14-0005358,78.0,0.0,-78.0
BRY,5965-14-5596464,78.0,0.0,-78.0
TLE,7025-01-6305849,78.0,0.0,-78.0
PAU,7025-01-6471720,79.0,1.0,-78.0
TRS,5998-14-5216511,78.0,0.0,-78.0
DRN,5895-01-5555276,77.0,0.0,-77.0
BST,5810-14-5860296,103.0,26.0,-77.0
CGC,7025-15-0137638,77.0,0.0,-77.0
NCY,7025-01-6471719,77.0,0.0,-77.0
CGC,5998-14-5649230,81.0,4.0,-77.0
ITS,7050-20-0042340,77.0,0.0,-77.0
MDM,5820-14-5704107,77.0,0.0,-77.0
TLN,5998-14-5776623,76.0,0.0,-76.0
NMS,5805-14-5649505,76.0,0.0,-76.0
NCY,5820-14-5720073,76.0,0.0,-76.0
VCS,5805-14-5395176,76.0,0.0,-76.0
TLN,5805-14-5855280,76.0,0.0,-76.0
AVD,5998-01-5863401,75.0,0.0,-75.0
RNS,6130-01-6803092,75.0,0.0,-75.0
EVX,5998-14-5709364,75.0,0.0,-75.0
