magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CNSO,5998-14-5649212,1.0,5.0,4.0
CNSO,5998-14-5649218,20.0,366.0,346.0
CNSO,5998-14-5649223,5.0,41.0,36.0
CNSO,5998-14-5649230,15.0,75.0,60.0
CNSO,5998-14-5649245,4.0,13.0,9.0
CNSO,5998-14-5649248,1.0,11.0,10.0
CNSO,5998-14-5649251,16.0,105.0,89.0
CNSO,5998-14-5649253,6.0,59.0,53.0
CNSO,5998-14-5649402,2.0,97.0,95.0
CNSO,5998-14-5649409,1.0,35.0,34.0
CNSO,5998-14-5649411,5.0,46.0,41.0
CNSO,5998-14-5649434,7.0,42.0,35.0
CNSO,5998-14-5709364,3.0,219.0,216.0
CNSO,5998-14-5729629,3.0,27.0,24.0
CNSO,5998-14-5729634,3.0,52.0,49.0
CNSO,5998-14-5890370,3.0,18.0,15.0
CNSO,5998-14-6021506,4.0,71.0,67.0
CNSO,5998-20-0085539,11.0,15.0,4.0
CNSO,5999-14-5416056,1.0,121.0,120.0
CNSO,6030-01-4858177,10.0,75.0,65.0
CNSO,6030-01-4861256,2.0,15.0,13.0
CNSO,6030-14-5737039,1.0,9.0,8.0
CNSO,6030-14-5737048,1.0,3.0,2.0
CNSO,6030-17-1210491,1.0,3.0,2.0
CNSO,6060-22-6199436,1.0,2.0,1.0
CNSO,6130-01-6014800,1.0,7.0,6.0
CNSO,6130-01-6439237,4.0,62.0,58.0
CNSO,6130-01-6606192,4.0,6.0,2.0
CNSO,6130-01-6654038,1.0,18.0,17.0
CNSO,6130-14-4491648,2.0,61.0,59.0
CNSO,6130-14-4761679,2.0,8.0,6.0
CNSO,6130-14-4852167,10.0,59.0,49.0
CNSO,6130-14-5129607,1.0,20.0,19.0
CNSO,6130-14-5147163,3.0,208.0,205.0
CNSO,6130-14-5641779,2.0,48.0,46.0
CNSO,6130-14-5648974,18.0,39.0,21.0
CNSO,6130-14-5649300,4.0,49.0,45.0
CNSO,6130-14-5650944,2.0,3.0,1.0
CNSO,6130-14-5740012,2.0,6.0,4.0
CNSO,6130-14-5849963,1.0,13.0,12.0
CNSO,6130-14-5977740,2.0,150.0,148.0
CNSO,6130-14-5977753,2.0,282.0,280.0
CNSO,6130-25-1625841,4.0,7.0,3.0
CNSO,6140-14-5937794,1.0,12.0,11.0
CNSO,6150-01-6603858,12.0,14.0,2.0
CNSO,6625-01-3862133,1.0,2.0,1.0
CNSO,6625-01-5041724,1.0,2.0,1.0
CNSO,6625-01-6829918,2.0,16.0,14.0
CNSO,6625-14-5734509,3.0,5.0,2.0
CNSO,6625-33-2192577,1.0,5.0,4.0
CNSO,6625-99-9695926,1.0,2.0,1.0
CNSO,6730-14-5863391,1.0,9.0,8.0
CNSO,7010-14-5636071,8.0,220.0,212.0
CNSO,7010-14-5737207,1.0,2.0,1.0
CNSO,7010-14-5862599,8.0,9.0,1.0
CNSO,7010-14-5862611,4.0,23.0,19.0
CNSO,7010-14-5870866,3.0,55.0,52.0
CNSO,7010-14-5926783,4.0,11.0,7.0
CNSO,7010-14-5961808,2.0,12.0,10.0
CNSO,7010-14-6035962,5.0,375.0,370.0
CNSO,7021-01-5844460,11.0,26.0,15.0
CNSO,7021-17-1278669,1.0,6.0,5.0
CNSO,7025-01-5008812,1.0,77.0,76.0
CNSO,7025-01-5259491,2.0,45.0,43.0
CNSO,7025-01-5309889,1.0,2.0,1.0
CNSO,7025-01-5455184,18.0,261.0,243.0
CNSO,7025-01-5543248,2.0,6.0,4.0
CNSO,7025-01-5690988,7.0,10.0,3.0
CNSO,7025-01-5812378,11.0,24.0,13.0
CNSO,7025-01-5868738,6.0,21.0,15.0
CNSO,7025-01-5933588,17.0,32.0,15.0
CNSO,7025-01-5977347,1.0,4.0,3.0
CNSO,7025-01-5997505,1.0,31.0,30.0
CNSO,7025-01-6013212,7.0,69.0,62.0
CNSO,7025-01-6013219,1.0,23.0,22.0
CNSO,7025-01-6065502,1.0,6.0,5.0
CNSO,7025-01-6113327,7.0,22.0,15.0
CNSO,7025-01-6145572,6.0,89.0,83.0
CNSO,7025-01-6229697,23.0,52.0,29.0
CNSO,7025-01-6241110,3.0,37.0,34.0
CNSO,7025-01-6305849,7.0,24.0,17.0
CNSO,7025-01-6429635,4.0,43.0,39.0
CNSO,7025-01-6429667,10.0,32.0,22.0
CNSO,7025-01-6470038,1.0,34.0,33.0
CNSO,7025-01-6471719,12.0,26.0,14.0
CNSO,7025-01-6505078,1.0,14.0,13.0
CNSO,7025-01-6525478,2.0,62.0,60.0
CNSO,7025-01-6538334,4.0,7.0,3.0
CNSO,7025-01-6667665,1.0,5.0,4.0
CNSO,7025-01-6675302,1.0,5.0,4.0
CNSO,7025-01-6680574,1.0,30.0,29.0
CNSO,7025-01-6691110,4.0,24.0,20.0
CNSO,7025-01-6720552,1.0,55.0,54.0
CNSO,7025-01-7016891,1.0,13.0,12.0
CNSO,7025-01-7068901,14.0,95.0,81.0
CNSO,7025-14-5452181,6.0,9.0,3.0
CNSO,7025-14-5534827,16.0,90.0,74.0
CNSO,7025-14-5534842,6.0,71.0,65.0
CNSO,7025-14-5584463,2.0,19.0,17.0
CNSO,7025-14-5651814,1.0,25.0,24.0
CNSO,7025-14-5803539,2.0,4.0,2.0
CNSO,7025-14-5812058,2.0,28.0,26.0
CNSO,7025-14-5849743,6.0,37.0,31.0
CNSO,7025-14-5881889,3.0,4.0,1.0
CNSO,7025-14-5884199,9.0,50.0,41.0
CNSO,7025-14-5899492,9.0,15.0,6.0
CNSO,7025-14-5930484,5.0,21.0,16.0
CNSO,7025-14-5930620,3.0,23.0,20.0
CNSO,7025-14-5947569,7.0,38.0,31.0
CNSO,7025-14-5947628,6.0,113.0,107.0
CNSO,7025-14-5947791,4.0,37.0,33.0
CNSO,7025-14-5947967,18.0,27.0,9.0
CNSO,7025-14-5950147,21.0,78.0,57.0
CNSO,7025-14-5984652,2.0,5.0,3.0
CNSO,7025-14-6033579,2.0,10.0,8.0
CNSO,7025-14-6070179,1.0,4.0,3.0
CNSO,7025-15-0010786,12.0,100.0,88.0
CNSO,7025-15-0168229,3.0,12.0,9.0
CNSO,7025-15-1413082,2.0,13.0,11.0
CNSO,7025-15-1577947,9.0,125.0,116.0
CNSO,7025-15-1830250,3.0,8.0,5.0
CNSO,7025-17-1254851,1.0,34.0,33.0
CNSO,7025-17-1278675,5.0,24.0,19.0
CNSO,7025-20-0094505,3.0,15.0,12.0
CNSO,7035-01-5636950,1.0,2.0,1.0
CNSO,7035-01-6774521,2.0,10.0,8.0
CNSO,7035-12-4012369,12.0,70.0,58.0
CNSO,7035-14-5499899,2.0,54.0,52.0
CNSO,7035-14-5536385,5.0,17.0,12.0
CNSO,7035-14-5856050,1.0,3.0,2.0
CNSO,7035-14-5860693,1.0,70.0,69.0
CNSO,7035-14-5914936,3.0,59.0,56.0
CNSO,7035-14-5914982,10.0,29.0,19.0
CNSO,7035-25-1476091,1.0,18.0,17.0
CNSO,7050-14-5822576,104.0,227.0,123.0
CNSO,7050-20-0042340,2.0,244.0,242.0
CNSO,7195-14-5872686,2.0,6.0,4.0
CNSO,7195-14-5961369,1.0,2.0,1.0
CNSO,7435-15-0102549,14.0,25.0,11.0
CNSO,8145-14-5886584,1.0,12.0,11.0
CNSO,8145-14-5886585,2.0,18.0,16.0
CNSO,8145-14-5886587,2.0,30.0,28.0
CNSO,8145-14-5955933,1.0,46.0,45.0
CNSO,9010-DI-1032014,5.0,12.0,7.0
CNSO,9010-DI-1062012,2.0,7.0,5.0
CNSO,9010-DI-1072015,1.0,7.0,6.0
CNSO,9020-DI-1012016,100.0,895.0,795.0
CNSO,9030-DI-0012014,4.0,29.0,25.0
CNSO,9030-DI-1012012,3.0,5.0,2.0
CNSO,9030-DI-1022013,3.0,6.0,3.0
CNSO,9080-DI-0372021,3.0,18.0,15.0
