nomenclature,deficit_total,deficit_moyen,nb_magasins,total_exploitation,total_stock
4130-14-5378048,-4.0,-4.0,1,4.0,0.0
5895-14-5787629,-4.0,-4.0,1,4.0,0.0
7010-14-5939626,-4.0,-2.0,2,4.0,0.0
7025-01-5032970,-4.0,-2.0,2,4.0,0.0
5895-14-5739870,4.0,2.0,2,2.0,6.0
7025-01-6709405,-4.0,-2.0,2,4.0,0.0
5985-14-4749863,-4.0,-4.0,1,4.0,0.0
5985-14-4749862,-4.0,-4.0,1,4.0,0.0
6625-01-1789491,-4.0,-1.33,3,4.0,0.0
5996-14-5061670,-4.0,-1.33,3,6.0,2.0
6130-14-5748069,-4.0,-4.0,1,4.0,0.0
7025-14-5958835,-4.0,-1.0,4,4.0,0.0
5895-14-5740202,-4.0,-1.33,3,14.0,10.0
DIRI-14-0005059,-4.0,-0.67,6,6.0,2.0
7025-01-5968879,-4.0,-4.0,1,4.0,0.0
7025-14-5949771,-4.0,-2.0,2,4.0,0.0
7035-14-5763749,-4.0,-4.0,1,4.0,0.0
7025-99-1547353,-4.0,-4.0,1,4.0,0.0
3920-14-5736312,-4.0,-1.33,3,4.0,0.0
5985-14-6077819,-4.0,-4.0,1,4.0,0.0
6130-14-5515595,-4.0,-2.0,2,4.0,0.0
7035-14-5729612,-4.0,-1.33,3,10.0,6.0
7035-14-5914712,-4.0,-4.0,1,4.0,0.0
7025-01-6782603,-4.0,-4.0,1,4.0,0.0
6130-14-5359750,-4.0,-0.57,7,7.0,3.0
5120-14-4884860,-4.0,-1.0,4,5.0,1.0
7025-01-6784121,-4.0,-2.0,2,4.0,0.0
6130-14-5335884,-4.0,-1.33,3,4.0,0.0
5895-14-5597509,4.0,4.0,1,2.0,6.0
5998-01-5834169,-4.0,-0.8,5,11.0,7.0
7035-14-5925189,-4.0,-4.0,1,4.0,0.0
5998-01-5920065,-4.0,-1.33,3,4.0,0.0
5998-01-5928396,-4.0,-4.0,1,4.0,0.0
7010-14-5909338,-4.0,-2.0,2,4.0,0.0
5895-14-5879176,-4.0,-4.0,1,4.0,0.0
7025-14-5964299,-4.0,-4.0,1,4.0,0.0
7025-14-5961233,-4.0,-2.0,2,4.0,0.0
7025-01-5372503,-4.0,-2.0,2,6.0,2.0
5965-33-2032898,-4.0,-4.0,1,4.0,0.0
5930-14-6082149,-4.0,-4.0,1,4.0,0.0
7025-14-6045535,-4.0,-2.0,2,4.0,0.0
DIRI-14-0003927,4.0,2.0,2,1.0,5.0
7025-14-5947526,-4.0,-1.33,3,4.0,0.0
5895-14-5881905,-4.0,-4.0,1,4.0,0.0
5950-14-4349725,-4.0,-4.0,1,4.0,0.0
7021-01-6944659,-4.0,-0.4,10,19.0,15.0
7035-01-7185690,-4.0,-4.0,1,4.0,0.0
6660-14-5140997,-4.0,-1.33,3,4.0,0.0
7025-01-6787720,-4.0,-4.0,1,4.0,0.0
7035-14-5945558,-4.0,-4.0,1,4.0,0.0
7025-14-5947575,-4.0,-4.0,1,4.0,0.0
DIRI-14-0004082,-4.0,-1.33,3,4.0,0.0
6130-14-5410849,-4.0,-4.0,1,4.0,0.0
5930-15-0293181,-4.0,-2.0,2,4.0,0.0
7025-14-5961519,-4.0,-4.0,1,4.0,0.0
5998-01-4679713,-4.0,-4.0,1,4.0,0.0
5965-01-6838377,-4.0,-2.0,2,4.0,0.0
7025-01-5341555,-4.0,-1.33,3,4.0,0.0
5895-14-5875972,-4.0,-4.0,1,4.0,0.0
DIRI-14-0004310,-4.0,-2.0,2,4.0,0.0
DIRI-14-0004282,-4.0,-2.0,2,4.0,0.0
7025-14-6017460,-4.0,-2.0,2,4.0,0.0
5985-14-5802310,-4.0,-4.0,1,4.0,0.0
7025-01-6640642,-4.0,-2.0,2,4.0,0.0
6625-12-4100424,-4.0,-4.0,1,4.0,0.0
5895-14-6066205,-4.0,-2.0,2,4.0,0.0
DIRI-14-0004262,-4.0,-1.33,3,4.0,0.0
7025-01-6778145,-4.0,-2.0,2,4.0,0.0
5985-14-5802307,-4.0,-4.0,1,4.0,0.0
6130-14-5464255,-4.0,-2.0,2,4.0,0.0
6130-14-5464253,-4.0,-2.0,2,4.0,0.0
6730-14-6051521,4.0,1.33,3,8.0,12.0
6625-14-4243099,-4.0,-1.0,4,4.0,0.0
6130-14-5452129,-4.0,-2.0,2,4.0,0.0
5110-14-5672350,-4.0,-0.4,10,12.0,8.0
5998-01-5371168,-4.0,-0.67,6,7.0,3.0
DIRI-14-0004184,-4.0,-1.0,4,4.0,0.0
7025-14-5947589,-4.0,-4.0,1,4.0,0.0
7025-01-6636862,-4.0,-2.0,2,4.0,0.0
7025-01-6778149,-4.0,-4.0,1,4.0,0.0
5895-14-5631620,-4.0,-2.0,2,4.0,0.0
7025-37-5286473,-4.0,-4.0,1,4.0,0.0
7010-14-5801671,-4.0,-2.0,2,5.0,1.0
7025-14-5906224,-4.0,-4.0,1,4.0,0.0
5895-01-5177350,4.0,2.0,2,1.0,5.0
7010-14-5696889,-4.0,-1.33,3,12.0,8.0
5895-99-6799723,-4.0,-2.0,2,4.0,0.0
7025-14-5824310,-4.0,-4.0,1,4.0,0.0
5998-14-5392808,4.0,2.0,2,2.0,6.0
8145-14-5734518,-4.0,-4.0,1,4.0,0.0
5895-01-5171587,-4.0,-1.33,3,5.0,1.0
5975-14-56603502,-4.0,-4.0,1,4.0,0.0
5895-01-5354396,-4.0,-4.0,1,4.0,0.0
5998-14-5331095,-4.0,-4.0,1,4.0,0.0
5895-25-1509705,-4.0,-4.0,1,4.0,0.0
7035-01-6422826,-4.0,-4.0,1,4.0,0.0
8145-01-6817124,-4.0,-1.33,3,4.0,0.0
DIRI-14-0000699,-4.0,-1.33,3,4.0,0.0
7025-12-3858558,-4.0,-4.0,1,4.0,0.0
7025-12-4072180,-4.0,-2.0,2,4.0,0.0
6021-14-6064844,-4.0,-2.0,2,4.0,0.0
8145-14-5890171,4.0,0.67,6,11.0,15.0
DIRI-14-0000241,-4.0,-4.0,1,4.0,0.0
7025-20-0127834,-4.0,-2.0,2,4.0,0.0
5820-01-5587401,-4.0,-2.0,2,6.0,2.0
7025-14-5808254,-4.0,-2.0,2,6.0,2.0
5975-14-5747895,-4.0,-1.33,3,4.0,0.0
5998-14-5396305,-4.0,-2.0,2,4.0,0.0
5820-01-5644237,-4.0,-4.0,1,4.0,0.0
7025-15-0293182,-4.0,-2.0,2,4.0,0.0
7025-14-4852171,-4.0,-1.0,4,6.0,2.0
DIRI-14-0000178,-4.0,-4.0,1,4.0,0.0
DIRI-14-0000173,-4.0,-4.0,1,4.0,0.0
8145-14-5950048,-4.0,-2.0,2,4.0,0.0
5895-01-4480144,-4.0,-2.0,2,4.0,0.0
8145-14-5955933,4.0,1.33,3,42.0,46.0
7025-14-5860816,-4.0,-1.0,4,6.0,2.0
7035-01-6775865,4.0,1.33,3,5.0,9.0
7021-14-5849771,-4.0,-4.0,1,4.0,0.0
5810-14-5860294,-4.0,-4.0,1,4.0,0.0
7025-14-5866434,-4.0,-1.0,4,4.0,0.0
5810-14-5872771,-4.0,-1.0,4,6.0,2.0
7490-01-5800232,-4.0,-4.0,1,4.0,0.0
5998-14-5149588,-4.0,-0.27,15,35.0,31.0
5810-14-5872753,-4.0,-1.33,3,5.0,1.0
5915-14-5409407,-4.0,-1.33,3,4.0,0.0
7035-01-6777248,-4.0,-4.0,1,4.0,0.0
7025-12-3608715,-4.0,-4.0,1,4.0,0.0
7025-01-5452563,4.0,0.8,5,7.0,11.0
7021-14-5974137,-4.0,-1.33,3,7.0,3.0
7010-01-7034299,-4.0,-4.0,1,4.0,0.0
5895-01-6016445,-4.0,-0.8,5,6.0,2.0
5895-01-6017248,4.0,2.0,2,1.0,5.0
6030-14-5942851,-4.0,-4.0,1,4.0,0.0
7010-14-5739683,-4.0,-2.0,2,4.0,0.0
5998-14-5164413,-4.0,-0.31,13,110.0,106.0
5998-14-5192085,-4.0,-0.67,6,69.0,65.0
DIRI-14-0000886,-4.0,-2.0,2,5.0,1.0
5985-01-6812217,-4.0,-4.0,1,4.0,0.0
6030-14-5736257,-4.0,-2.0,2,6.0,2.0
6030-14-5729680,-4.0,-4.0,1,4.0,0.0
6030-14-5721275,-4.0,-2.0,2,6.0,2.0
5915-14-5061102,-4.0,-1.0,4,10.0,6.0
5810-14-6057406,-4.0,-4.0,1,4.0,0.0
7010-14-5739680,-4.0,-2.0,2,4.0,0.0
7025-22-6087900,-4.0,-2.0,2,4.0,0.0
5985-01-6810323,-4.0,-4.0,1,4.0,0.0
6030-14-5594948,-4.0,-4.0,1,4.0,0.0
7025-01-7233558,-4.0,-2.0,2,4.0,0.0
5895-01-5583259,-4.0,-4.0,1,4.0,0.0
5895-20-0087784,-4.0,-4.0,1,4.0,0.0
6625-01-6222414,-4.0,-4.0,1,4.0,0.0
7025-14-5789771,-4.0,-1.33,3,4.0,0.0
5950-14-5402278,-4.0,-2.0,2,4.0,0.0
5998-14-5900498,-4.0,-2.0,2,4.0,0.0
6625-14-5886897,-4.0,-2.0,2,4.0,0.0
7035-01-6598301,-4.0,-2.0,2,4.0,0.0
5820-99-4296063,-4.0,-2.0,2,6.0,2.0
5820-14-5850225,-4.0,-4.0,1,4.0,0.0
5985-14-5362347,-4.0,-4.0,1,4.0,0.0
9070-DI-0422024,-4.0,-4.0,1,4.0,0.0
5975-15-0258705,-4.0,-4.0,1,4.0,0.0
5998-14-5525174,-4.0,-1.0,4,4.0,0.0
5998-14-5595820,-4.0,-0.67,6,19.0,15.0
5820-14-5735803,-4.0,-4.0,1,4.0,0.0
7025-17-1257800,-4.0,-2.0,2,4.0,0.0
7025-17-1249257,-4.0,-2.0,2,5.0,1.0
5998-14-5989285,-4.0,-2.0,2,4.0,0.0
5820-14-5718415,-4.0,-4.0,1,4.0,0.0
9030-DI-1042012,-4.0,-4.0,1,4.0,0.0
5820-33-21217592,-4.0,-4.0,1,4.0,0.0
5820-33-2071183,-4.0,-4.0,1,4.0,0.0
7025-17-1278677,-4.0,-2.0,2,5.0,1.0
5975-14-6094410,-4.0,-2.0,2,4.0,0.0
5975-14-6001220,-4.0,-1.0,4,4.0,0.0
5998-14-5832474,-4.0,-2.0,2,4.0,0.0
5975-14-6087792,-4.0,-4.0,1,4.0,0.0
7025-17-1278684,-4.0,-1.33,3,4.0,0.0
9070-DI-0332020,-4.0,-4.0,1,4.0,0.0
5820-15-1667871,-4.0,-4.0,1,4.0,0.0
5895-64-0005179,-4.0,-4.0,1,4.0,0.0
5820-14-6094662,-4.0,-4.0,1,4.0,0.0
5820-14-6007543,-4.0,-2.0,2,4.0,0.0
5895-99-1614657,-4.0,-2.0,2,4.0,0.0
7025-14-5631735,4.0,0.8,5,13.0,17.0
5975-14-6009189,-4.0,-2.0,2,4.0,0.0
5998-14-6021506,-4.0,-0.27,15,75.0,71.0
5820-14-5678133,-4.0,-2.0,2,4.0,0.0
7025-14-5250656,-4.0,-4.0,1,4.0,0.0
7025-14-5397461,-4.0,-2.0,2,4.0,0.0
9010-DI-1032016,-4.0,-4.0,1,4.0,0.0
5836-14-5311438,-4.0,-0.25,16,20.0,16.0
5836-14-5928990,-4.0,-1.33,3,4.0,0.0
7025-14-5402915,-4.0,-1.0,4,5.0,1.0
5998-99-5336919,-4.0,-4.0,1,4.0,0.0
7025-14-5771126,-4.0,-4.0,1,4.0,0.0
5985-01-5463854,-4.0,-2.0,2,4.0,0.0
9075-DI-0352022,-4.0,-2.0,2,4.0,0.0
5820-01-7078911,-4.0,-0.5,8,8.0,4.0
7025-15-1375315,-4.0,-4.0,1,4.0,0.0
5999-01-6571292,4.0,1.0,4,1.0,5.0
7025-14-5315268,-4.0,-4.0,1,4.0,0.0
5999-14-4316008,-4.0,-4.0,1,4.0,0.0
5999-14-4456403,-4.0,-4.0,1,4.0,0.0
7010-14-5676648,4.0,1.0,4,9.0,13.0
5831-14-4262781,-4.0,-1.33,3,4.0,0.0
5998-14-5502261,-4.0,-1.33,3,4.0,0.0
5820-14-4290631,-4.0,-4.0,1,4.0,0.0
5820-14-4456404,-4.0,-4.0,1,4.0,0.0
5998-25-1477487,-4.0,-2.0,2,4.0,0.0
9080-DI-0792021,-4.0,-4.0,1,4.0,0.0
5830-14-6066740,-4.0,-4.0,1,4.0,0.0
5830-14-5903142,-4.0,-2.0,2,4.0,0.0
7025-01-6178213,-4.0,-2.0,2,4.0,0.0
7010-14-5651804,4.0,2.0,2,1.0,5.0
5820-14-5334436,4.0,1.33,3,3.0,7.0
5820-14-5399066,-4.0,-1.33,3,4.0,0.0
5820-14-5412919,-4.0,-4.0,1,4.0,0.0
5895-32-0904986,-4.0,-4.0,1,4.0,0.0
7025-14-5456789,-4.0,-1.33,3,4.0,0.0
7025-14-5725457,-4.0,-4.0,1,4.0,0.0
7025-14-5870616,-4.0,-1.33,3,4.0,0.0
6625-99-8911171,-4.0,-1.0,4,4.0,0.0
7025-27-0619110,-4.0,-4.0,1,4.0,0.0
5975-14-4454683,-4.0,-1.33,3,4.0,0.0
5998-14-4491658,4.0,0.36,11,60.0,64.0
5895-12-4116278,-4.0,-4.0,1,4.0,0.0
5895-15-0184756,-4.0,-4.0,1,4.0,0.0
5895-01-6608650,-4.0,-1.33,3,4.0,0.0
5985-12-3632579,-4.0,-2.0,2,4.0,0.0
7025-01-7057011,-4.0,-4.0,1,4.0,0.0
5895-01-6548912,-4.0,-4.0,1,4.0,0.0
6625-14-5744349,-4.0,-0.36,11,19.0,15.0
5998-14-4491655,4.0,0.44,9,58.0,62.0
7021-14-5378293,-4.0,-4.0,1,4.0,0.0
5985-12-4117594,-4.0,-4.0,1,4.0,0.0
7021-14-5397472,-4.0,-4.0,1,4.0,0.0
5998-14-4782233,-4.0,-2.0,2,4.0,0.0
DIRI-14-0001435,4.0,1.33,3,2.0,6.0
7025-01-6951334,-4.0,-2.0,2,4.0,0.0
7025-01-6127479,-4.0,-1.0,4,7.0,3.0
5998-14-4491646,-4.0,-0.36,11,113.0,109.0
7010-14-5788098,-4.0,-2.0,2,4.0,0.0
7035-01-6158873,-4.0,-0.8,5,39.0,35.0
7035-41-0036719,-4.0,-2.0,2,4.0,0.0
5998-14-4799517,-4.0,-2.0,2,4.0,0.0
7025-01-6426701,4.0,1.33,3,2.0,6.0
5998-14-4799528,-4.0,-2.0,2,4.0,0.0
7025-14-5879361,-4.0,-4.0,1,4.0,0.0
7025-14-6097656,-4.0,-1.33,3,4.0,0.0
5985-12-4117597,-4.0,-4.0,1,4.0,0.0
5920-14-5514905,-4.0,-1.0,4,4.0,0.0
7035-01-6779715,-4.0,-4.0,1,4.0,0.0
6625-01-5428346,-4.0,-4.0,1,4.0,0.0
7025-14-6087586,-4.0,-4.0,1,4.0,0.0
5998-14-4595352,-4.0,-2.0,2,4.0,0.0
5998-14-4595357,-4.0,-2.0,2,4.0,0.0
7050-01-6997878,-4.0,-4.0,1,4.0,0.0
7025-14-6067019,-4.0,-1.33,3,4.0,0.0
5998-14-4680369,-4.0,-2.0,2,4.0,0.0
7021-14-6036668,-4.0,-1.33,3,4.0,0.0
6625-01-5720223,-4.0,-4.0,1,4.0,0.0
5895-14-6121251,-4.0,-4.0,1,4.0,0.0
7050-14-5699342,-4.0,-4.0,1,4.0,0.0
7025-01-6997419,-4.0,-4.0,1,4.0,0.0
5895-01-7085964,-4.0,-4.0,1,4.0,0.0
5895-01-7175012,-4.0,-2.0,2,4.0,0.0
7050-01-6146632,-4.0,-4.0,1,4.0,0.0
7050-14-5736649,-4.0,-4.0,1,4.0,0.0
DIRI-14-0001341,-4.0,-4.0,1,4.0,0.0
5895-01-6779158,-4.0,-4.0,1,4.0,0.0
5805-14-4700862,-4.0,-4.0,1,4.0,0.0
DIRI-14-0001133,-4.0,-1.33,3,4.0,0.0
7050-01-5925431,-4.0,-2.0,2,4.0,0.0
7035-01-5843975,-4.0,-2.0,2,4.0,0.0
7025-01-6108647,-4.0,-2.0,2,6.0,2.0
7025-14-5886922,-4.0,-4.0,1,4.0,0.0
5895-01-6774272,-4.0,-2.0,2,4.0,0.0
5895-01-6728167,-4.0,-4.0,1,4.0,0.0
6120-01-7084921,-4.0,-4.0,1,4.0,0.0
5975-14-4454684,-4.0,-1.33,3,4.0,0.0
6105-01-6803711,-4.0,-4.0,1,4.0,0.0
5998-14-4595353,-4.0,-2.0,2,4.0,0.0
6099-99-8433997,-4.0,-2.0,2,4.0,0.0
5998-14-4454768,-4.0,-4.0,1,4.0,0.0
5895-01-6416378,4.0,2.0,2,1.0,5.0
5895-01-6268768,-4.0,-4.0,1,4.0,0.0
7025-14-5890078,-4.0,-4.0,1,4.0,0.0
7025-01-7076456,-4.0,-4.0,1,4.0,0.0
7050-41-0005027,-4.0,-2.0,2,4.0,0.0
7050-41-0028138,-4.0,-2.0,2,8.0,4.0
5998-14-4454797,-4.0,-4.0,1,4.0,0.0
7035-01-6246778,-4.0,-4.0,1,4.0,0.0
5895-01-6154767,-4.0,-4.0,1,4.0,0.0
7025-25-1494870,-4.0,-2.0,2,5.0,1.0
5998-14-4454796,-4.0,-4.0,1,4.0,0.0
5998-14-5034239,-4.0,-2.0,2,4.0,0.0
5998-14-4852172,-4.0,-0.44,9,45.0,41.0
7025-01-7161618,-4.0,-1.33,3,4.0,0.0
5895-14-4176316,-4.0,-2.0,2,5.0,1.0
5895-14-4252235,-4.0,-0.5,8,17.0,13.0
6625-58-0013691,-4.0,-1.0,4,4.0,0.0
7025-14-5873806,-4.0,-4.0,1,4.0,0.0
7025-01-7183666,-4.0,-2.0,2,4.0,0.0
5998-14-5061109,-4.0,-1.33,3,5.0,1.0
7025-01-5651484,-4.0,-1.0,4,5.0,1.0
7010-01-7017872,-4.0,-4.0,1,4.0,0.0
5998-14-4428901,-4.0,-4.0,1,4.0,0.0
7025-01-7185823,-4.0,-4.0,1,4.0,0.0
5915-14-5615275,-4.0,-4.0,1,4.0,0.0
6130-01-5495350,-4.0,-2.0,2,4.0,0.0
5998-14-4454814,-4.0,-4.0,1,4.0,0.0
7025-01-7072433,-4.0,-4.0,1,4.0,0.0
6625-12-3918369,-4.0,-2.0,2,5.0,1.0
5895-01-6546323,-4.0,-4.0,1,4.0,0.0
7025-01-5678449,-4.0,-1.33,3,7.0,3.0
6625-12-3939452,-4.0,-1.33,3,4.0,0.0
5805-14-5954123,-4.0,-2.0,2,4.0,0.0
5805-14-5976151,4.0,1.33,3,3.0,7.0
5975-14-4823987,-4.0,-1.0,4,5.0,1.0
7025-01-7072452,-4.0,-2.0,2,4.0,0.0
5915-15-0210989,-4.0,-2.0,2,4.0,0.0
5998-14-4454801,-4.0,-4.0,1,4.0,0.0
6635-01-6916671,-3.0,-1.0,3,3.0,0.0
6625-12-1834077,-3.0,-3.0,1,3.0,0.0
6625-14-5926522,-3.0,-1.0,3,4.0,1.0
6665-14-5733681,-3.0,-1.5,2,3.0,0.0
6625-14-5417087,-3.0,-3.0,1,3.0,0.0
7025-01-6234217,-3.0,-3.0,1,3.0,0.0
6625-01-6561527,-3.0,-1.5,2,3.0,0.0
7010-14-5997469,-3.0,-0.33,9,8.0,5.0
7025-01-6108996,3.0,1.5,2,1.0,4.0
7010-14-5995229,-3.0,-0.75,4,4.0,1.0
7021-14-5732749,3.0,1.5,2,1.0,4.0
7025-01-6168733,-3.0,-1.0,3,4.0,1.0
6350-14-5520269,-3.0,-1.5,2,3.0,0.0
7025-01-4707957,-3.0,-3.0,1,3.0,0.0
6350-14-5376017,-3.0,-1.0,3,3.0,0.0
6625-14-5839045,-3.0,-1.0,3,3.0,0.0
6645-14-5962322,-3.0,-3.0,1,3.0,0.0
7025-01-6205967,-3.0,-3.0,1,3.0,0.0
7025-01-5008827,-3.0,-3.0,1,3.0,0.0
7010-14-5796826,-3.0,-3.0,1,3.0,0.0
6625-14-5912240,-3.0,-1.5,2,3.0,0.0
6350-14-5514903,-3.0,-1.0,3,3.0,0.0
7025-01-5598442,-3.0,-1.5,2,3.0,0.0
7021-14-5689850,-3.0,-3.0,1,3.0,0.0
6625-14-5742103,-3.0,-1.5,2,3.0,0.0
7010-14-5842447,-3.0,-3.0,1,3.0,0.0
7010-99-5138131,-3.0,-0.75,4,4.0,1.0
6605-14-5897103,3.0,1.5,2,1.0,4.0
7021-01-5406242,-3.0,-1.0,3,4.0,1.0
6625-01-6262540,-3.0,-3.0,1,3.0,0.0
7025-01-6205302,-3.0,-1.0,3,5.0,2.0
7025-01-5696189,-3.0,-1.5,2,3.0,0.0
7010-14-5792650,-3.0,-1.0,3,3.0,0.0
7025-01-5560990,-3.0,-0.33,9,22.0,19.0
7010-20-0131662,-3.0,-1.0,3,3.0,0.0
7025-01-6195274,-3.0,-1.5,2,3.0,0.0
6625-14-5744342,-3.0,-0.3,10,18.0,15.0
6625-14-5377937,-3.0,-1.5,2,3.0,0.0
7010-14-5660474,3.0,1.5,2,1.0,4.0
6625-14-5431977,-3.0,-0.6,5,4.0,1.0
6625-14-5117811,-3.0,-1.0,3,3.0,0.0
7025-01-6538334,3.0,3.0,1,4.0,7.0
7025-01-6073876,-3.0,-1.0,3,3.0,0.0
6350-15-1751835,-3.0,-1.0,3,3.0,0.0
7021-01-5085716,-3.0,-1.5,2,3.0,0.0
7025-01-6101452,-3.0,-1.0,3,3.0,0.0
7025-01-4984213,-3.0,-1.5,2,3.0,0.0
7025-01-6329078,-3.0,-1.5,2,3.0,0.0
7025-01-6248334,3.0,1.0,3,3.0,6.0
7010-14-5378294,-3.0,-3.0,1,3.0,0.0
7010-14-5149625,-3.0,-0.43,7,6.0,3.0
7025-01-5380875,-3.0,-0.27,11,12.0,9.0
6625-14-3661230,-3.0,-0.6,5,4.0,1.0
6625-01-6572523,-3.0,-1.5,2,3.0,0.0
6625-99-8313594,-3.0,-3.0,1,3.0,0.0
6625-01-4782653,-3.0,-1.0,3,4.0,1.0
7025-01-5229812,-3.0,-3.0,1,3.0,0.0
6730-14-5902196,-3.0,-3.0,1,3.0,0.0
7021-14-5906227,-3.0,-1.5,2,3.0,0.0
6625-14-5773985,-3.0,-3.0,1,3.0,0.0
7021-99-6136194,-3.0,-3.0,1,3.0,0.0
7025-01-5465155,-3.0,-1.0,3,4.0,1.0
7025-01-4090586,-3.0,-1.5,2,3.0,0.0
6625-14-4255985,-3.0,-1.5,2,3.0,0.0
6625-12-3650534,-3.0,-1.5,2,3.0,0.0
6730-14-5754258,-3.0,-1.5,2,3.0,0.0
7025-01-4130703,-3.0,-3.0,1,3.0,0.0
7025-01-4224643,-3.0,-1.5,2,3.0,0.0
7010-14-5866333,-3.0,-1.5,2,3.0,0.0
6625-01-6150789,-3.0,-1.5,2,3.0,0.0
6625-01-6108758,-3.0,-1.5,2,3.0,0.0
7010-01-7140431,-3.0,-3.0,1,3.0,0.0
6730-26-3006746,-3.0,-1.5,2,3.0,0.0
7010-01-7139055,-3.0,-3.0,1,3.0,0.0
7010-14-5892225,-3.0,-3.0,1,3.0,0.0
7025-01-6128932,-3.0,-3.0,1,3.0,0.0
6625-15-1748227,-3.0,-1.5,2,3.0,0.0
7025-01-5650562,-3.0,-1.5,2,3.0,0.0
6625-12-3740093,-3.0,-1.5,2,3.0,0.0
6625-14-3911353,-3.0,-1.5,2,3.0,0.0
7025-01-5649545,-3.0,-1.5,2,3.0,0.0
6625-01-6014801,3.0,1.0,3,4.0,7.0
7025-01-6307167,-3.0,-3.0,1,3.0,0.0
7010-14-5927874,3.0,1.5,2,1.0,4.0
7025-01-6470043,-3.0,-3.0,1,3.0,0.0
6625-14-5729226,-3.0,-1.5,2,3.0,0.0
7010-14-5884735,-3.0,-3.0,1,3.0,0.0
6730-41-0036171,-3.0,-3.0,1,3.0,0.0
7010-01-6953771,-3.0,-1.5,2,4.0,1.0
6625-01-4751208,-3.0,-1.0,3,3.0,0.0
6625-14-3661231,-3.0,-1.0,3,4.0,1.0
7025-01-6145567,-3.0,-3.0,1,3.0,0.0
7025-01-5968919,-3.0,-3.0,1,3.0,0.0
6625-01-5864474,-3.0,-3.0,1,3.0,0.0
6625-12-3045882,-3.0,-1.0,3,3.0,0.0
7010-14-5864711,-3.0,-1.5,2,3.0,0.0
6625-01-5725184,-3.0,-1.0,3,3.0,0.0
6625-14-4766069,-3.0,-1.5,2,3.0,0.0
7010-14-5862599,-3.0,-1.0,3,12.0,9.0
6625-14-4797737,3.0,1.5,2,3.0,6.0
7010-14-5953125,-3.0,-3.0,1,3.0,0.0
6685-14-5097494,-3.0,-1.5,2,3.0,0.0
6625-01-0995886,-3.0,-1.5,2,3.0,0.0
7010-14-5862583,-3.0,-3.0,1,3.0,0.0
7021-14-5397470,-3.0,-3.0,1,3.0,0.0
7025-01-6109133,-3.0,-0.75,4,8.0,5.0
7025-01-5300998,3.0,1.5,2,1.0,4.0
7010-14-5958229,-3.0,-3.0,1,3.0,0.0
7025-01-6245575,-3.0,-3.0,1,3.0,0.0
7021-14-5535231,-3.0,-3.0,1,3.0,0.0
6645-14-5957091,-3.0,-1.5,2,3.0,0.0
7025-01-6162044,-3.0,-3.0,1,3.0,0.0
7021-01-6029113,-3.0,-1.5,2,3.0,0.0
7025-01-4573546,-3.0,-1.0,3,4.0,1.0
7010-14-5989596,-3.0,-1.5,2,3.0,0.0
6625-33-2118894,-3.0,-1.0,3,4.0,1.0
7021-14-5397474,-3.0,-1.0,3,3.0,0.0
7025-01-6248382,-3.0,-1.0,3,3.0,0.0
7025-01-6522867,-3.0,-1.5,2,3.0,0.0
7025-01-6254236,-3.0,-3.0,1,3.0,0.0
7025-01-6503850,-3.0,-1.5,2,7.0,4.0
7025-01-5251788,-3.0,-3.0,1,3.0,0.0
6625-12-3546350,-3.0,-1.0,3,3.0,0.0
7010-01-5829761,-3.0,-3.0,1,3.0,0.0
7010-01-6157124,-3.0,-3.0,1,3.0,0.0
6625-14-5965317,-3.0,-1.5,2,3.0,0.0
7025-01-6253632,-3.0,-1.0,3,3.0,0.0
6625-14-6077760,-3.0,-1.0,3,3.0,0.0
6625-14-4635056,-3.0,-3.0,1,3.0,0.0
6625-99-1552894,-3.0,-3.0,1,3.0,0.0
6625-14-4567958,-3.0,-3.0,1,3.0,0.0
7025-01-4358472,-3.0,-3.0,1,3.0,0.0
7025-01-6123558,-3.0,-1.5,2,3.0,0.0
7021-14-6076850,3.0,1.5,2,1.0,4.0
7010-14-5864352,-3.0,-3.0,1,3.0,0.0
7025-01-5183556,-3.0,-3.0,1,3.0,0.0
7025-01-5526079,-3.0,-1.5,2,3.0,0.0
7025-01-4969342,-3.0,-1.5,2,3.0,0.0
5996-14-3305050,3.0,1.5,2,1.0,4.0
5805-14-5667724,-3.0,-3.0,1,3.0,0.0
5985-99-9741398,-3.0,-3.0,1,3.0,0.0
5985-22-6043146,-3.0,-3.0,1,4.0,1.0
7025-14-5959028,-3.0,-1.0,3,3.0,0.0
5810-14-5827187,-3.0,-3.0,1,3.0,0.0
5810-14-5463403,-3.0,-3.0,1,3.0,0.0
5985-99-3370534,-3.0,-1.5,2,3.0,0.0
5810-14-4667907,-3.0,-3.0,1,3.0,0.0
7025-14-5956015,-3.0,-1.0,3,3.0,0.0
5985-99-5012496,-3.0,-3.0,1,3.0,0.0
5810-01-6906159,-3.0,-1.0,3,3.0,0.0
5895-14-6109460,-3.0,-3.0,1,3.0,0.0
5805-71-0399726,-3.0,-1.5,2,4.0,1.0
5895-01-6585045,-3.0,-3.0,1,3.0,0.0
5805-14-5667916,-3.0,-3.0,1,3.0,0.0
7025-14-5955163,-3.0,-1.5,2,3.0,0.0
5895-01-6598770,-3.0,-3.0,1,3.0,0.0
5805-14-5662341,-3.0,-1.5,2,3.0,0.0
5895-14-6099571,3.0,1.5,2,2.0,5.0
5995-99-8833796,-3.0,-3.0,1,3.0,0.0
