nomenclature,deficit_total,deficit_moyen,nb_magasins,total_exploitation,total_stock
6030-14-5906139,-83.0,-9.22,9,83.0,0.0
5895-01-5660851,83.0,5.19,16,106.0,189.0
9070-DI-0372020,-83.0,-16.6,5,83.0,0.0
9040-DI-0012023,-83.0,-10.38,8,83.0,0.0
5998-14-5832206,83.0,41.5,2,2.0,85.0
6130-01-6101579,-82.0,-5.47,15,82.0,0.0
6130-01-6590426,-82.0,-16.4,5,104.0,22.0
5998-14-4491641,-82.0,-7.45,11,133.0,51.0
5895-01-5413058,-82.0,-3.42,24,230.0,148.0
6130-14-5449731,-82.0,-7.45,11,84.0,2.0
5998-01-6614379,-82.0,-5.47,15,82.0,0.0
9080-DI-0362021,-82.0,-3.42,24,83.0,1.0
5805-14-5855280,-81.0,-11.57,7,88.0,7.0
7035-01-6125624,-81.0,-11.57,7,81.0,0.0
5805-14-5117389,-81.0,-6.23,13,93.0,12.0
5815-14-4795798,-80.0,-80.0,1,80.0,0.0
5895-01-5059537,-80.0,-8.0,10,187.0,107.0
5895-01-6850029,-80.0,-3.64,22,119.0,39.0
7025-01-5497526,-80.0,-7.27,11,85.0,5.0
5998-25-1497845,-80.0,-10.0,8,120.0,40.0
7025-01-6960710,-80.0,-8.89,9,108.0,28.0
5895-14-5713812,-80.0,-26.67,3,86.0,6.0
5975-14-6039259,-80.0,-5.71,14,80.0,0.0
7025-01-6712573,-80.0,-11.43,7,83.0,3.0
7010-14-5971471,79.0,15.8,5,190.0,269.0
5820-99-8703821,-79.0,-13.17,6,86.0,7.0
7025-14-5936312,-79.0,-26.33,3,79.0,0.0
5820-22-6229684,-79.0,-5.27,15,93.0,14.0
5895-14-5462694,79.0,5.64,14,54.0,133.0
5895-14-4261912,-79.0,-6.58,12,79.0,0.0
5805-14-5925645,-79.0,-13.17,6,88.0,9.0
6130-14-4491648,-79.0,-5.64,14,140.0,61.0
7035-14-5914936,-79.0,-4.65,17,139.0,60.0
6130-14-4392517,79.0,7.9,10,155.0,234.0
7025-14-5941616,-79.0,-19.75,4,81.0,2.0
7010-14-5477335,-78.0,-11.14,7,81.0,3.0
9080-DI-0402021,-78.0,-5.57,14,80.0,2.0
7035-01-6773252,-78.0,-13.0,6,81.0,3.0
7025-14-5948058,-78.0,-7.09,11,85.0,7.0
5895-14-5501847,78.0,8.67,9,8.0,86.0
5930-01-5710161,-78.0,-4.88,16,92.0,14.0
5998-14-4823886,-77.0,-4.81,16,104.0,27.0
5805-14-5740586,-77.0,-9.62,8,79.0,2.0
6130-14-4761889,-77.0,-5.92,13,91.0,14.0
7025-01-5341554,-77.0,-5.5,14,92.0,15.0
5975-14-4761892,-77.0,-7.0,11,78.0,1.0
7490-01-5851431,-77.0,-2.26,34,77.0,0.0
5895-14-4491653,-76.0,-6.33,12,96.0,20.0
5895-14-5585816,-76.0,-15.2,5,77.0,1.0
6130-14-5906125,-76.0,-10.86,7,76.0,0.0
5998-14-6099408,76.0,12.67,6,10.0,86.0
5998-14-4689476,75.0,18.75,4,6.0,81.0
7035-01-6795875,-75.0,-15.0,5,77.0,2.0
7025-14-4761887,-74.0,-8.22,9,75.0,1.0
7025-01-6913044,-74.0,-18.5,4,74.0,0.0
7025-01-6409763,-74.0,-5.69,13,101.0,27.0
5810-01-6791343,-74.0,-12.33,6,84.0,10.0
