magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CNSO,5998-14-5115538,0.0,72.0,72.0
CNSO,5998-14-4535523,0.0,72.0,72.0
CNSO,5998-14-5217075,0.0,72.0,72.0
CNSO,7025-01-6840925,0.0,71.0,71.0
CNSO,5998-14-4634095,0.0,71.0,71.0
CNSO,5895-01-5165031,0.0,71.0,71.0
CNSO,5998-14-4689422,0.0,71.0,71.0
CNSO,6130-14-5983672,0.0,71.0,71.0
CNSO,7025-01-6295560,0.0,70.0,70.0
CNSO,5895-01-6038918,2.0,71.0,69.0
CNSO,5998-14-4636519,0.0,69.0,69.0
CNSO,5895-14-4484985,0.0,69.0,69.0
CNSO,7025-14-5812059,0.0,69.0,69.0
CNSO,7035-14-5860693,1.0,70.0,69.0
CNSO,7035-01-4970882,0.0,69.0,69.0
CNSO,5998-14-4491651,4.0,72.0,68.0
CNSO,5895-14-5501850,0.0,67.0,67.0
CNSO,5998-14-6021506,4.0,71.0,67.0
CNSO,5895-14-5454066,0.0,66.0,66.0
CNSO,7025-14-5534842,6.0,71.0,65.0
CNSO,6030-01-4858177,10.0,75.0,65.0
CNSO,5930-01-5320385,0.0,65.0,65.0
CNSO,6130-14-4252186,0.0,65.0,65.0
CNSO,5998-14-5192085,0.0,65.0,65.0
CNSO,5810-14-5860296,64.0,128.0,64.0
CNSO,5895-14-5223318,0.0,63.0,63.0
CNSO,5915-14-4852179,6.0,69.0,63.0
CNSO,5805-14-4147593,0.0,62.0,62.0
CNSO,7025-01-6013212,7.0,69.0,62.0
CNSO,5805-14-5395177,2.0,64.0,62.0
CNSO,7025-01-6844735,0.0,62.0,62.0
CNSO,5998-14-5223322,2.0,63.0,61.0
CNSO,9080-DI-0042019,0.0,61.0,61.0
CNSO,5998-14-4491658,3.0,64.0,61.0
CNSO,5975-14-6014460,1.0,62.0,61.0
CNSO,DIRI-14-0002542,0.0,61.0,61.0
ANTACL,7025-01-5388114,5.0,66.0,61.0
CNSO,5998-14-4536845,0.0,61.0,61.0
CNSO,5998-14-5649230,15.0,75.0,60.0
CNSO,5998-14-4491645,4.0,64.0,60.0
CNSO,7025-01-6525478,2.0,62.0,60.0
CNSO,5998-14-4535526,0.0,60.0,60.0
CNSO,5975-14-4338092,0.0,59.0,59.0
CNSO,6130-14-4491648,2.0,61.0,59.0
CNSO,5963-01-5295714,0.0,59.0,59.0
BST,7035-15-0231142,0.0,59.0,59.0
CNSO,7035-12-4012369,12.0,70.0,58.0
CNSO,5895-14-5453534,0.0,58.0,58.0
CNSO,6130-01-6439237,4.0,62.0,58.0
CNSO,5975-01-5912433,0.0,58.0,58.0
CNSO,5998-14-5524866,0.0,58.0,58.0
CNSO,5895-01-6108993,0.0,58.0,58.0
CNSO,6030-14-5451517,0.0,57.0,57.0
CNSO,5998-14-4491655,4.0,61.0,57.0
CNSO,7025-14-5950147,21.0,78.0,57.0
CNSO,7035-14-5914936,3.0,59.0,56.0
CNSO,5998-14-4535518,0.0,56.0,56.0
CNSO,6130-14-4978785,0.0,56.0,56.0
CNSO,5895-14-5402712,0.0,55.0,55.0
CNSO,7025-01-5114279,0.0,54.0,54.0
CNSO,5895-14-5591085,18.0,72.0,54.0
CNSO,5998-14-4760551,0.0,54.0,54.0
BCE,9010-DI-0012022,26.0,80.0,54.0
CNSO,7025-01-6720552,1.0,55.0,54.0
CNSO,5998-14-5416049,0.0,53.0,53.0
CNSO,7025-01-5746332,0.0,53.0,53.0
CNSO,5998-14-5649253,6.0,59.0,53.0
CNSO,5820-14-5704786,0.0,52.0,52.0
CNSO,7035-14-5499899,2.0,54.0,52.0
CNSO,7010-14-5870866,3.0,55.0,52.0
CNSO,5965-14-4177295,4.0,55.0,51.0
CNSO,7025-17-1280853,0.0,51.0,51.0
CNSO,5998-14-4392518,1.0,52.0,51.0
CNSO,7025-01-6909236,0.0,51.0,51.0
CNSO,5895-01-6073450,0.0,50.0,50.0
CNSO,5820-14-5805196,0.0,50.0,50.0
CNSO,5998-14-4719780,0.0,50.0,50.0
CNSO,5895-14-5869566,0.0,50.0,50.0
CNSO,7025-14-5536987,0.0,49.0,49.0
CNSO,5915-14-4852181,10.0,59.0,49.0
CNSO,6130-14-4852167,10.0,59.0,49.0
CNSO,5998-14-5729634,3.0,52.0,49.0
CNSO,5998-14-5776623,0.0,49.0,49.0
CNSO,5998-14-4719781,0.0,49.0,49.0
CNSO,5985-01-2039484,0.0,49.0,49.0
CNSO,5998-14-4109581,0.0,48.0,48.0
CNSO,5895-14-5854238,0.0,48.0,48.0
CNSO,4130-14-4536849,0.0,48.0,48.0
CNSO,6130-14-5115170,0.0,48.0,48.0
PAU,9010-DI-0012022,6.0,53.0,47.0
CNSO,5895-14-4626374,0.0,47.0,47.0
CNSO,5998-14-5149583,0.0,47.0,47.0
CNSO,6130-01-6594359,0.0,47.0,47.0
CNSO,5998-14-4852163,9.0,56.0,47.0
CNSO,7021-14-5732755,0.0,47.0,47.0
CNSO,6130-14-5641779,2.0,48.0,46.0
CNSO,7025-01-6430878,0.0,46.0,46.0
CNSO,5895-14-5736209,0.0,46.0,46.0
CNSO,5805-01-6721744,11.0,57.0,46.0
CNSO,5895-01-5372433,0.0,46.0,46.0
CNSO,7025-14-4504323,0.0,45.0,45.0
BST,7025-01-6859552,0.0,45.0,45.0
CNSO,5895-01-5406560,0.0,45.0,45.0
CNSO,6130-14-5649300,4.0,49.0,45.0
CNSO,5998-14-5416054,0.0,45.0,45.0
CNSO,6130-01-6942557,0.0,45.0,45.0
CNSO,7025-01-6233604,0.0,45.0,45.0
CNSO,8145-14-5955933,1.0,46.0,45.0
CNSO,5998-14-4491657,2.0,46.0,44.0
CNSO,5998-14-5395155,0.0,44.0,44.0
CNSO,5998-14-4636518,0.0,44.0,44.0
CNSO,5998-14-5314940,4.0,48.0,44.0
CNSO,5998-14-5738022,0.0,44.0,44.0
CNSO,7025-01-6746466,0.0,43.0,43.0
CNSO,7025-01-5259491,2.0,45.0,43.0
CNSO,7025-01-6429663,0.0,43.0,43.0
BST,5805-01-6442680,35.0,78.0,43.0
CNSO,5895-14-5454072,0.0,43.0,43.0
CNSO,5998-14-4491641,8.0,51.0,43.0
CNSO,5998-14-5668072,0.0,43.0,43.0
CNSO,6130-14-5631742,0.0,42.0,42.0
CNSO,5998-14-4536850,0.0,42.0,42.0
CNSO,5998-14-5216511,0.0,42.0,42.0
CNSO,7025-01-6429665,0.0,42.0,42.0
CNSO,7025-01-6524781,0.0,42.0,42.0
CNSO,6030-14-5773598,0.0,42.0,42.0
CNSO,5810-14-5872772,0.0,42.0,42.0
CNSO,9060-DI-0072023,0.0,42.0,42.0
CNSO,5985-14-5147147,0.0,42.0,42.0
CNSO,5985-14-5511392,0.0,42.0,42.0
CNSO,5998-14-5648868,0.0,42.0,42.0
CNSO,5998-14-4261918,0.0,41.0,41.0
CNSO,5998-14-5147120,0.0,41.0,41.0
CNSO,5895-14-5562436,0.0,41.0,41.0
CNSO,5998-14-5649411,5.0,46.0,41.0
CNSO,7025-01-6245571,0.0,41.0,41.0
CNSO,5998-14-4536847,0.0,41.0,41.0
CNSO,5895-01-5333467,0.0,41.0,41.0
BST,5895-14-5892200,42.0,83.0,41.0
CNSO,7025-14-5884199,9.0,50.0,41.0
CNSO,5998-14-4852169,7.0,48.0,41.0
CNSO,7025-01-5867725,0.0,40.0,40.0
CNSO,5895-01-6083482,0.0,40.0,40.0
CNSO,5805-14-5925646,0.0,40.0,40.0
CNSO,5895-14-5462684,0.0,40.0,40.0
CNSO,7025-99-3753910,0.0,40.0,40.0
CNSO,5895-14-5453542,0.0,40.0,40.0
CNSO,5998-01-5283857,0.0,40.0,40.0
CNSO,5895-14-5467782,0.0,40.0,40.0
CNSO,5975-14-4491637,0.0,40.0,40.0
CNSO,5998-25-1497845,0.0,40.0,40.0
CNSO,5998-14-4852180,3.0,42.0,39.0
CNSO,5998-14-4852172,2.0,41.0,39.0
CNSO,7025-01-6429635,4.0,43.0,39.0
CNSO,6130-14-4647396,0.0,39.0,39.0
CNSO,5810-14-5860297,1.0,40.0,39.0
CNSO,7010-14-5636092,0.0,39.0,39.0
CNSO,5998-14-4252183,0.0,39.0,39.0
CNSO,5998-01-6246458,0.0,38.0,38.0
CNSO,5998-14-4891306,0.0,38.0,38.0
CNSO,5895-01-5720755,0.0,38.0,38.0
CNSO,5895-14-5223346,1.0,39.0,38.0
CNSO,5985-14-5537569,0.0,38.0,38.0
CNSO,5895-25-1498301,0.0,38.0,38.0
CNSO,5895-14-5648877,0.0,37.0,37.0
CNSO,7010-14-5699192,0.0,37.0,37.0
CNSO,5998-14-4252199,0.0,37.0,37.0
BST,7025-14-5961091,9.0,46.0,37.0
CNSO,5895-14-5501845,0.0,37.0,37.0
CNSO,5998-14-4535516,0.0,37.0,37.0
CNSO,7021-14-5456781,0.0,37.0,37.0
CNSO,5805-14-5883097,7.0,44.0,37.0
CNSO,5895-01-6850029,0.0,37.0,37.0
CNSO,5998-14-5451643,0.0,36.0,36.0
CNSO,7025-01-6571296,0.0,36.0,36.0
CNSO,5998-14-5649223,5.0,41.0,36.0
CNSO,5998-14-5416052,0.0,36.0,36.0
CNSO,5975-14-4569084,0.0,36.0,36.0
CNSO,5998-14-4535520,0.0,36.0,36.0
CNSO,6030-01-4640130,0.0,36.0,36.0
CNSO,5998-14-5649434,7.0,42.0,35.0
CNSO,5998-14-4252174,0.0,35.0,35.0
BST,5985-14-5511392,5.0,40.0,35.0
CNSO,5998-01-4434707,0.0,35.0,35.0
CNSO,5810-14-6075553,0.0,35.0,35.0
CNSO,5805-14-5739158,0.0,35.0,35.0
CNSO,5998-01-5997564,0.0,35.0,35.0
CNSO,7010-14-5651729,0.0,35.0,35.0
CNSO,5998-14-5521029,0.0,35.0,35.0
CNSO,5998-14-5126208,0.0,35.0,35.0
CNSO,5120-12-4068022,23.0,57.0,34.0
CNSO,5998-14-4491656,4.0,38.0,34.0
CNSO,5998-14-5216509,0.0,34.0,34.0
CNSO,5895-01-6548913,0.0,34.0,34.0
CNSO,5895-14-5606807,0.0,34.0,34.0
MDM,6030-01-5849988,10.0,44.0,34.0
CNSO,5998-14-5649409,1.0,35.0,34.0
CNSO,5998-14-4252179,0.0,34.0,34.0
CNSO,7025-01-6241110,3.0,37.0,34.0
CHG,7025-01-7006887,7.0,41.0,34.0
CNSO,5820-14-5699765,64.0,98.0,34.0
CNSO,5998-14-5240153,0.0,34.0,34.0
CNSO,7490-01-6289942,0.0,34.0,34.0
CNSO,6130-14-4535528,0.0,33.0,33.0
CNSO,6130-01-6475350,0.0,33.0,33.0
CNSO,5998-14-4252205,0.0,33.0,33.0
CNSO,5998-14-4252208,0.0,33.0,33.0
CNSO,5998-14-4252211,0.0,33.0,33.0
CNSO,5998-14-5511953,0.0,33.0,33.0
CNSO,7025-17-1254851,1.0,34.0,33.0
CNSO,6130-14-4252266,0.0,33.0,33.0
CNSO,5998-14-4515469,0.0,33.0,33.0
