nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
7025-14-5894540,-37.0,1,-37.0,38.0,1.0
5998-14-5217075,-36.0,3,-12.0,42.0,6.0
5895-01-6412003,-36.0,1,-36.0,44.0,8.0
7025-01-5259491,36.0,2,18.0,10.0,46.0
7050-20-0042340,36.0,6,6.0,237.0,273.0
5895-01-6659304,-36.0,5,-7.2,57.0,21.0
5820-22-6229684,-35.0,3,-11.67,49.0,14.0
7025-14-5849743,-35.0,3,-11.67,74.0,39.0
5985-14-5944610,-35.0,3,-11.67,45.0,10.0
7025-01-6305849,-35.0,2,-17.5,62.0,27.0
7025-01-6571299,-35.0,6,-5.83,43.0,8.0
5998-14-4491656,34.0,1,34.0,4.0,38.0
5998-14-5890370,-34.0,3,-11.33,62.0,28.0
7025-14-5874071,-34.0,1,-34.0,39.0,5.0
5810-14-5763435,-34.0,2,-17.0,37.0,3.0
5120-12-4068022,34.0,2,17.0,25.0,59.0
7025-01-6429649,-33.0,1,-33.0,34.0,1.0
5998-20-0085539,-33.0,3,-11.0,50.0,17.0
7025-17-1254851,33.0,1,33.0,1.0,34.0
7025-14-5947791,33.0,1,33.0,4.0,37.0
7490-01-5822347,-33.0,3,-11.0,40.0,7.0
6130-14-5654861,-33.0,1,-33.0,34.0,1.0
5895-14-5147140,33.0,1,33.0,2.0,35.0
5998-14-5649409,33.0,4,8.25,7.0,40.0
7025-01-6470038,33.0,1,33.0,1.0,34.0
5998-14-5776623,-33.0,3,-11.0,38.0,5.0
5975-14-6014460,33.0,4,8.25,35.0,68.0
5998-14-4535518,-32.0,1,-32.0,34.0,2.0
5998-14-4852177,-32.0,1,-32.0,36.0,4.0
5810-14-5860297,32.0,3,10.67,10.0,42.0
7025-01-7061923,32.0,1,32.0,7.0,39.0
5998-14-5900499,-32.0,2,-16.0,45.0,13.0
7025-01-6691110,-31.0,5,-6.2,59.0,28.0
7025-01-6735508,-31.0,3,-10.33,46.0,15.0
7050-14-5822576,31.0,3,10.33,198.0,229.0
5998-14-5649411,-31.0,6,-5.17,86.0,55.0
7010-14-5944723,-31.0,1,-31.0,32.0,1.0
7035-14-5860693,30.0,3,10.0,44.0,74.0
5895-14-5470829,30.0,1,30.0,9.0,39.0
5810-14-5872748,-30.0,2,-15.0,32.0,2.0
7025-01-6429660,-30.0,2,-15.0,37.0,7.0
5998-14-5649223,30.0,3,10.0,14.0,44.0
9010-DI-1022014,-30.0,1,-30.0,33.0,3.0
5998-14-4682244,30.0,1,30.0,2.0,32.0
7010-14-5696893,-29.0,1,-29.0,50.0,21.0
7025-01-6620265,-29.0,1,-29.0,31.0,2.0
5998-14-4852170,29.0,1,29.0,2.0,31.0
7025-01-6229697,29.0,1,29.0,23.0,52.0
5895-01-6592493,-29.0,2,-14.5,35.0,6.0
7025-99-8201129,-29.0,2,-14.5,38.0,9.0
7035-15-0231142,-29.0,2,-14.5,38.0,9.0
7035-12-4012369,-28.0,4,-7.0,105.0,77.0
DIRI-14-0002652,28.0,1,28.0,1.0,29.0
5998-14-4747177,-28.0,2,-14.0,32.0,4.0
DIRI-14-0003149,-28.0,2,-14.0,40.0,12.0
5895-01-6692703,-28.0,3,-9.33,37.0,9.0
5998-14-4636519,-28.0,1,-28.0,29.0,1.0
8145-14-5886587,28.0,1,28.0,2.0,30.0
5998-14-4535523,-27.0,1,-27.0,30.0,3.0
7025-01-6429635,27.0,3,9.0,20.0,47.0
5998-01-6108956,27.0,1,27.0,2.0,29.0
7025-01-6671018,-27.0,1,-27.0,31.0,4.0
5998-14-4747179,-26.0,2,-13.0,30.0,4.0
DIRI-14-0001869,25.0,1,25.0,3.0,28.0
5895-14-5714032,-25.0,1,-25.0,26.0,1.0
6130-14-5714038,-25.0,1,-25.0,29.0,4.0
5805-14-4813168,-25.0,1,-25.0,36.0,11.0
