magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
BST;5895-14-5713812;68.0;4.0;-64.0;MANQUE;64.0;16.996
MRC;6130-14-5648974;67.0;4.0;-63.0;MANQUE;63.0;16.746
CNSO;5915-14-4852179;6.0;69.0;63.0;SURPLUS;63.0;0.087
CNSO;5805-14-5395177;2.0;64.0;62.0;SURPLUS;62.0;0.031
BST;5805-14-5795343;63.0;1.0;-62.0;MANQUE;62.0;62.937
CNSO;7025-01-6013212;7.0;69.0;62.0;SURPLUS;62.0;0.101
CNSO;7025-01-6471720;84.0;22.0;-62.0;MANQUE;62.0;3.818
CGC;7050-20-0042340;62.0;1.0;-61.0;MANQUE;61.0;61.938
CNSO;5975-14-6014460;1.0;62.0;61.0;SURPLUS;61.0;0.016
CNSO;5998-14-5223322;2.0;63.0;61.0;SURPLUS;61.0;0.032
ANTACL;7025-01-5388114;5.0;66.0;61.0;SURPLUS;61.0;0.076
MRC;5998-14-5149581;67.0;6.0;-61.0;MANQUE;61.0;11.165
PAU;7050-14-5822576;62.0;1.0;-61.0;MANQUE;61.0;61.938
CNSO;5998-14-4491658;3.0;64.0;61.0;SURPLUS;61.0;0.047
CNSO;5998-14-4491645;4.0;64.0;60.0;SURPLUS;60.0;0.062
CNSO;7025-01-6525478;2.0;62.0;60.0;SURPLUS;60.0;0.032
CNSO;5820-14-5875891;61.0;1.0;-60.0;MANQUE;60.0;60.939
CNSO;7025-01-6533455;71.0;11.0;-60.0;MANQUE;60.0;6.454
BST;7035-12-4012369;62.0;2.0;-60.0;MANQUE;60.0;30.985
CNSO;5998-14-5649230;15.0;75.0;60.0;SURPLUS;60.0;0.2
ANTACL;7025-01-6471720;63.0;3.0;-60.0;MANQUE;60.0;20.993
MDM;5998-14-5812746;60.0;1.0;-59.0;MANQUE;59.0;59.94
CNSO;6130-14-4491648;2.0;61.0;59.0;SURPLUS;59.0;0.033
BST;7025-14-5812058;72.0;14.0;-58.0;MANQUE;58.0;5.142
CNSO;7035-12-4012369;12.0;70.0;58.0;SURPLUS;58.0;0.171
CNSO;6130-01-6439237;4.0;62.0;58.0;SURPLUS;58.0;0.065
CNSO;7025-14-5950147;21.0;78.0;57.0;SURPLUS;57.0;0.269
CNSO;5998-14-4491655;4.0;61.0;57.0;SURPLUS;57.0;0.066
PAU;7025-15-0137638;66.0;9.0;-57.0;MANQUE;57.0;7.333
CGC;5998-14-5649251;60.0;4.0;-56.0;MANQUE;56.0;14.996
CNSO;7035-14-5914936;3.0;59.0;56.0;SURPLUS;56.0;0.051
MDM;5895-14-5606807;57.0;2.0;-55.0;MANQUE;55.0;28.486
CNSO;5895-14-5591085;18.0;72.0;54.0;SURPLUS;54.0;0.25
CGC;5810-14-5860296;58.0;4.0;-54.0;MANQUE;54.0;14.496
BST;5810-14-5860295;57.0;3.0;-54.0;MANQUE;54.0;18.994
