nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
7025-14-5947628;2;82.0;41.0;-25.0;107.0;36.0;18.0;118.0;59.0;2;1.0;1.0;25.0;107.0
5895-14-5603031;2;82.0;41.0;-19.0;101.0;22.0;11.0;104.0;52.0;2;1.0;1.0;19.0;101.0
5998-14-5729634;8;-81.0;-10.12;-36.0;49.0;151.0;18.88;70.0;8.75;8;7.0;1.0;130.0;49.0
5998-01-5587804;1;81.0;81.0;81.0;81.0;4.0;4.0;85.0;85.0;1;;1.0;;81.0
7025-14-5884199;2;-80.0;-40.0;-121.0;41.0;131.0;65.5;51.0;25.5;2;1.0;1.0;121.0;41.0
7035-14-5885006;1;-80.0;-80.0;-80.0;-80.0;93.0;93.0;13.0;13.0;1;1.0;;80.0;
5895-01-4758630;3;79.0;26.33;0.0;77.0;27.0;9.0;106.0;35.33;3;;2.0;;79.0
5895-14-5713842;2;-79.0;-39.5;-80.0;1.0;91.0;45.5;12.0;6.0;2;1.0;1.0;80.0;1.0
5820-14-5875877;2;79.0;39.5;6.0;73.0;40.0;20.0;119.0;59.5;2;;2.0;;79.0
5895-20-0078044;4;-76.0;-19.0;-51.0;-1.0;84.0;21.0;8.0;2.0;4;4.0;;76.0;
7025-01-5008812;1;76.0;76.0;76.0;76.0;1.0;1.0;77.0;77.0;1;;1.0;;76.0
5998-14-4252193;2;75.0;37.5;-4.0;79.0;9.0;4.5;84.0;42.0;2;1.0;1.0;4.0;79.0
5810-14-5860301;1;74.0;74.0;74.0;74.0;8.0;8.0;82.0;82.0;1;;1.0;;74.0
5998-14-4491643;2;74.0;37.0;-2.0;76.0;6.0;3.0;80.0;40.0;2;1.0;1.0;2.0;76.0
7025-14-5534827;1;74.0;74.0;74.0;74.0;16.0;16.0;90.0;90.0;1;;1.0;;74.0
5895-14-5606807;2;-73.0;-36.5;-55.0;-18.0;79.0;39.5;6.0;3.0;2;2.0;;73.0;
5998-14-5649402;5;73.0;14.6;-16.0;95.0;35.0;7.0;108.0;21.6;5;2.0;3.0;25.0;98.0
7490-01-6289942;5;-73.0;-14.6;-27.0;-3.0;90.0;18.0;17.0;3.4;5;5.0;;73.0;
5895-14-5713812;2;-70.0;-35.0;-64.0;-6.0;76.0;38.0;6.0;3.0;2;2.0;;70.0;
5998-14-5115514;4;69.0;17.25;-126.0;275.0;212.0;53.0;281.0;70.25;4;3.0;1.0;206.0;275.0
