magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CHG,5998-14-5649212,3.0,1.0,-2.0
CHG,5998-14-5649218,34.0,9.0,-25.0
CHG,5998-14-5649220,15.0,1.0,-14.0
CHG,5998-14-5649223,4.0,2.0,-2.0
CHG,5998-14-5649230,10.0,1.0,-9.0
CHG,5998-14-5649245,2.0,1.0,-1.0
CHG,5998-14-5649248,18.0,1.0,-17.0
CHG,5998-14-5649251,12.0,3.0,-9.0
CHG,5998-14-5649402,12.0,3.0,-9.0
CHG,5998-14-5649411,12.0,3.0,-9.0
CHG,5998-14-5649434,5.0,2.0,-3.0
CHG,5998-14-5729634,5.0,1.0,-4.0
CHG,5998-14-5836096,4.0,3.0,-1.0
CHG,5998-14-5836098,2.0,1.0,-1.0
CHG,5998-14-5836101,4.0,3.0,-1.0
CHG,5998-14-5900499,8.0,1.0,-7.0
CHG,6130-01-6429643,12.0,1.0,-11.0
CHG,6130-01-6470900,4.0,1.0,-3.0
CHG,6130-14-4852167,44.0,4.0,-40.0
CHG,6130-14-5650944,22.0,6.0,-16.0
CHG,6130-14-5797008,19.0,8.0,-11.0
CHG,6130-14-5849997,3.0,2.0,-1.0
CHG,6130-14-5875950,18.0,6.0,-12.0
CHG,6140-14-5654871,3.0,1.0,-2.0
CHG,7010-14-5918742,3.0,1.0,-2.0
CHG,7025-01-5379117,3.0,2.0,-1.0
CHG,7025-01-5867725,4.0,3.0,-1.0
CHG,7025-01-6145572,20.0,8.0,-12.0
CHG,7025-01-6162699,12.0,1.0,-11.0
CHG,7025-01-6336396,23.0,11.0,-12.0
CHG,7025-01-6429635,5.0,1.0,-4.0
CHG,7025-01-6429656,8.0,1.0,-7.0
CHG,7025-01-6429660,4.0,1.0,-3.0
CHG,7025-01-6469110,8.0,6.0,-2.0
CHG,7025-01-6471719,97.0,26.0,-71.0
CHG,7025-01-6471720,205.0,13.0,-192.0
CHG,7025-01-6519677,36.0,1.0,-35.0
CHG,7025-01-6571299,16.0,1.0,-15.0
CHG,7025-01-6659124,16.0,5.0,-11.0
CHG,7025-01-6720552,20.0,2.0,-18.0
CHG,7025-01-6746466,3.0,2.0,-1.0
CHG,7025-14-5584463,3.0,1.0,-2.0
CHG,7025-14-5714152,3.0,1.0,-2.0
CHG,7025-14-5812058,24.0,10.0,-14.0
CHG,7025-14-5812059,8.0,1.0,-7.0
CHG,7025-14-5918578,2.0,1.0,-1.0
CHG,7025-14-5947596,5.0,3.0,-2.0
CHG,7025-14-5947967,5.0,3.0,-2.0
